bahahascf_1	0	34070420	0	34070420	0	34070420
bahahascf_2	0	32868497	0	32868497	0	32868497
bahahascf_3	0	31590235	0	31590235	0	31590235
bahahascf_4	0	30356100	0	30356100	0	30356100
bahahascf_5	0	30056085	0	30056085	0	30056085
bahahascf_6	0	29970673	0	29970673	0	29970673
bahahascf_7	0	29938109	0	29938109	0	29938109
bahahascf_8	0	29730933	0	29730933	0	29730933
bahahascf_9	0	29232642	0	29232642	0	29232642
bahahascf_10	0	28776159	0	28776159	0	28776159
bahahascf_11	0	28487492	0	28487492	0	28487492
bahahascf_12	0	28315687	0	28315687	0	28315687
bahahascf_13	0	27736001	0	27736001	0	27736001
bahahascf_14	0	26551714	0	26551714	0	26551714
bahahascf_15	0	26498646	0	26498646	0	26498646
bahahascf_16	0	25195558	0	25195558	0	25195558
bahahascf_17	0	25115752	0	25115752	0	25115752
bahahascf_18	0	24933537	0	24933537	0	24933537
bahahascf_19	0	24559853	0	24559853	0	24559853
bahahascf_20	0	23725426	0	23725426	0	23725426
bahahascf_21	0	23492065	0	23492065	0	23492065
bahahascf_22	0	22300123	0	22300123	0	22300123
bahahascf_23	0	20093014	0	20093014	0	20093014
bahahascf_24	0	15277635	0	15277635	0	15277635

